Directory,File Name,Matched Directory,Matched File Name
chrome/content/zotero,titlebar.js,chrome/content/zotero,createParentDialog.xhtml
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,zotero.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,session.js
chrome/content/zotero/xpcom,zotero.js,app,build.sh
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero,zotero.mjs
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/actors,TranslationChild.jsm
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,streamer.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero,RemoteTranslate.jsm
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom,schema.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom/data,cachedTypes.js
chrome/content/zotero/xpcom,zotero.js,chrome/content/zotero/xpcom/sync,syncRunner.js
chrome/content/zotero/xpcom,zotero.js,chrome/skin/default/zotero/timeline,timelineControls.js
chrome/content/zotero/xpcom,zotero.js,js-build,ftl-to-json.mjs
chrome/content/zotero/xpcom,zotero.js,js-build,localize-ftl.mjs
