Directory,File Name,Function Types,Function Names,Function Params
chrome/content/scaffold,scaffold.js,AsyncFunctionDeclaration,_updateTitle,NONE
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,jsonItem,NONE
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,jsonItem,jsonItem
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,init,NONE
chrome/content/scaffold,scaffoldItemPreview.js,ClassMethod,render,NONE
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,jsonItems,NONE
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,jsonItems,jsonItems
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,init,NONE
chrome/content/scaffold,scaffoldItemPreviews.js,ClassMethod,render,NONE
chrome/content/scaffold,select.js,FunctionExpression,Zotero_Ingester_Interface_SelectItems,NONE
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,detectWeb,doc
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,detectWeb,url
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,getSearchResults,doc
chrome/content/scaffold/templates,newWeb.js,FunctionDeclaration,getSearchResults,checkOnly
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,doWeb,doc
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,doWeb,url
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,scrape,doc
chrome/content/scaffold/templates,newWeb.js,AsyncFunctionDeclaration,scrape,url
chrome/content/scaffold/templates,scrapeBibTeX.js,AsyncFunctionDeclaration,scrape,doc
chrome/content/scaffold/templates,scrapeBibTeX.js,AsyncFunctionDeclaration,scrape,url
chrome/content/scaffold/templates,scrapeEM.js,AsyncFunctionDeclaration,scrape,doc
chrome/content/scaffold/templates,scrapeEM.js,AsyncFunctionDeclaration,scrape,url
chrome/content/scaffold/templates,scrapeMARC.js,AsyncFunctionDeclaration,scrape,doc
chrome/content/scaffold/templates,scrapeMARC.js,AsyncFunctionDeclaration,scrape,url
chrome/content/scaffold/templates,scrapeRIS.js,AsyncFunctionDeclaration,scrape,doc
chrome/content/scaffold/templates,scrapeRIS.js,AsyncFunctionDeclaration,scrape,url
chrome/content/scaffold,translators.js,AsyncObjectPropertyFunction,deleteByID,translatorID
chrome/content/scaffold,translators.js,ObjectPropertyFunction,getDirectory,NONE
chrome/content/scaffold,translators.js,ObjectPropertyFunction,getModifiedTime,translatorID
chrome/content/scaffold,translators.js,ObjectPropertyFunction,getProvider,NONE
chrome/content/scaffold,translators.js,ClassMethod,setLoadListener,[ComplexParam]
